time	cwndsize
0.00034893	2
0.00077429	3
0.00103944	4
0.00130965	5
0.00154898	6
0.0017901	7
0.00202911	8
0.00226774	9
0.00252823	10
0.00269623	11
0.00293865	12
0.00311354	13
0.00327509	14
0.0034424	13
0.00356992	14
0.00373136	15.1429
0.00389495	16.1995
0.00406758	17.1871
0.00423343	18.1181
0.00439436	19.0012
0.00455548	19.8432
0.00470649	20.6495
0.00486888	21.4244
0.00503076	22.1712
0.00519757	22.8929
0.00534947	23.5918
0.00551994	24.27
0.00568163	24.9292
0.005832	25.571
0.00600058	26.1967
0.00616154	26.8075
0.00631265	27.4043
0.00647116	27.9882
0.00662373	28.5599
0.00684923	29.1201
0.00702107	29.6695
0.00717009	30.2088
0.00733597	30.7385
0.00748728	31.259
0.00764578	31.7708
0.00779712	32.2744
0.00796664	32.7702
0.00811582	33.2584
0.00828956	33.7395
0.00843825	34.2137
0.00860542	34.6814
0.0087609	35.1427
0.00895372	35.598
0.00909498	36.0475
0.00925054	36.4913
0.00939091	36.9298
0.00959937	37.3631
0.00976119	37.7913
0.00990933	38.2147
0.01009	38.6334
0.0102447	39.0475
0.0104611	39.4573
0.010606	39.8628
0.0107897	40.2641
0.010954	40.6615
0.011107	41.055
0.0112696	41.4447
0.0114113	41.8308
0.0115559	42.2133
0.0117127	42.5923
0.011854	42.968
0.0119927	43.3403
0.0121523	43.7095
0.0122953	44.0756
0.0124475	44.4386
0.0125864	44.7986
0.0127451	45.1558
0.0129657	45.5101
0.0131037	45.8617
0.0132349	46.2105
0.0135233	46.5568
0.013885	46.9005
0.0141485	47.2416
0.0144134	47.5803
0.0145895	47.9166
0.014778	48.2505
0.0149659	48.5821
0.01517	48.9114
0.0153163	49.2385
0.01547	49.5635
0.0156064	49.8863
0.0157416	50.207
0.0158914	50.5257
0.0160274	50.8424
0.0161582	51.1571
0.0163023	51.4698
0.0164399	51.7807
0.0165703	52.0897
0.0167142	52.3969
0.0168464	52.7022
0.0169794	53.0058
0.0171216	53.3077
0.0172522	53.6078
0.0173805	53.9063
0.0175116	54.2031
0.0176518	54.4983
0.0177813	54.7919
0.0179099	55.0839
0.0180691	55.3743
0.0182	55.6633
0.0183309	55.9507
0.0184589	56.2367
0.0186048	56.5212
0.018806	56.8043
0.01895	57.086
0.0190942	57.3662
0.0192272	57.6451
0.0193569	57.9227
0.0194876	58.1989
0.019632	58.4739
0.0197762	58.7475
0.0199353	59.0198
0.0201089	59.2909
0.0202553	59.5608
0.0204321	59.8294
0.020592	60.0968
0.0208469	60.3631
0.0209948	60.6281
0.0211338	60.892
0.0212628	61.1548
0.0214063	61.4164
0.0215354	61.677
0.0216712	61.9364
0.021802	62.1947
0.0219458	62.452
0.022078	62.7082
0.0222147	62.9633
0.0223471	63.2174
0.0224898	63.4705
0.022625	63.7226
0.0227848	63.9737
0.0229225	64.2238
0.023066	64.4729
0.0232032	64.7211
0.0233552	64.9683
0.02349	65.2146
0.023636	65.4599
0.0237744	65.7043
0.0239079	65.9479
0.0240451	66.1905
0.0241911	66.4322
0.0243258	66.673
0.0244595	66.913
0.0245954	67.1521
0.024743	67.3904
0.0248797	67.6278
0.0250129	67.8644
0.025215	68.1002
0.0254153	68.3351
0.0255761	68.5693
0.0257304	68.8026
0.0258802	69.0352
0.0260652	69.2669
0.0262264	69.4979
0.0263802	69.7281
0.0265703	69.9576
0.026735	70.1863
0.0268936	70.4143
0.0270302	70.6415
0.0271812	70.868
0.0273191	71.0938
0.0274691	71.3188
0.0276035	71.5432
0.0277357	71.7668
0.0278723	71.9898
0.0280081	72.212
0.0281543	72.4336
0.0282856	72.6545
0.0284215	72.8747
0.0285565	73.0942
0.0287016	73.3131
0.0288337	73.5314
0.0289714	73.749
0.0291135	73.9659
0.029249	74.1822
0.0293919	74.3979
0.0295263	74.613
0.0296623	74.8274
0.0297959	75.0413
0.0299414	75.2545
0.0300746	75.4671
0.030209	75.6791
0.0303432	75.8905
0.0304786	76.1013
0.030626	76.3116
0.0308031	76.5213
0.0309523	76.7304
0.0312446	76.9389
0.0314046	77.1468
0.0315704	77.3542
0.0317214	77.5611
0.0318973	77.7674
0.0320501	77.9731
0.0322022	78.1783
0.0323585	78.383
0.0324917	78.5871
0.0326238	78.7907
0.0327613	78.9938
0.0328936	79.1963
0.033039	79.3983
0.0331742	79.5998
0.0333107	79.8008
0.0334444	80.0013
0.0335918	80.2013
0.0337267	80.4008
0.0338613	80.5998
0.033995	80.7984
0.0341282	80.9964
0.0342622	81.1939
0.0344116	81.391
0.0345488	81.5876
0.0346805	81.7837
0.0348533	81.9793
0.0349936	82.1745
0.0352222	82.3692
0.0353752	82.5634
0.0355175	82.7572
0.0356767	82.9506
0.0358444	83.1434
0.0360194	83.3359
0.0361813	83.5279
0.0363583	83.7194
0.0365238	83.9105
0.0366842	84.1012
0.0368364	84.2915
0.0369839	84.4813
0.0371344	84.6707
0.0372838	84.8597
0.0374331	85.0482
0.0375977	85.2363
0.0377471	85.424
0.037898	85.6113
0.0380486	85.7982
0.0381982	85.9847
0.0383335	86.1708
0.0384777	86.3565
0.0386119	86.5418
0.038809	86.7266
0.0389727	86.9111
0.0391111	87.0952
0.0392622	87.2789
0.0394029	87.4622
0.0395383	87.6452
0.0396743	87.8277
0.0398111	88.0099
0.0399623	88.1917
0.0401004	88.3731
0.0402375	88.5542
0.0403796	88.7349
0.0405197	88.9152
0.0406658	89.0951
0.040818	89.2747
0.0409571	89.4539
0.0410936	89.6328
0.041279	89.8113
0.041725	89.9894
0.0419583	90.1672
0.0421605	90.3447
0.0423652	90.5218
0.0425425	90.6985
0.042746	90.875
0.0429478	91.051
0.0431422	91.2267
0.0433189	91.4021
0.0435027	91.5772
0.043676	91.7519
0.0438837	91.9263
0.0441037	92.1003
0.0442986	92.2741
0.0445635	92.4475
0.0447414	92.6205
0.0449086	92.7933
0.0449285	92.9657
0.0458251	93.1378
0.0460572	93.3096
0.0462236	93.4811
0.0463719	93.6522
0.0465193	93.8231
0.0466904	93.9936
0.0468838	94.1638
0.0470449	94.3337
0.0471929	94.5034
0.0473331	94.6727
0.0474756	94.8417
0.047616	95.0104
0.0477654	95.1788
0.047909	95.3469
0.0480513	95.5147
0.0481928	95.6822
0.0483302	95.8494
0.0484789	96.0163
0.0486503	96.183
0.0488039	96.3493
0.0489865	96.5154
0.049143	96.6812
0.0493005	96.8467
0.0494564	97.0119
0.0496355	97.1768
0.0497768	97.3415
0.0499193	97.5058
0.0500597	97.6699
0.050198	97.8337
0.050336	97.9973
0.0504769	98.1605
0.0506312	98.3235
0.0508232	98.4863
0.0509669	98.6487
0.0511153	98.8109
0.0512592	98.9728
0.0513971	99.1345
0.0515671	99.2959
0.0517242	99.457
0.0519923	99.6179
0.0521414	99.7785
0.0522838	99.9389
0.0524274	100.099
0.0525788	100.259
0.0527183	100.418
0.0528614	100.578
0.0530032	100.737
0.053142	100.896
0.053279	101.054
0.0534278	101.213
0.0535679	101.371
0.0537055	101.528
0.053841	101.686
0.0539782	101.843
0.054119	102.001
0.0543047	102.157
0.0544608	102.314
0.0546738	102.47
0.0548684	102.627
0.0550556	102.782
0.0552145	102.938
0.0553685	103.094
0.0555231	103.249
0.0556697	103.404
0.0558094	103.558
0.0559491	103.713
0.05609	103.867
0.056231	104.021
0.0563822	104.175
0.0565224	104.329
0.0566739	104.482
0.0568175	104.635
0.0569589	104.788
0.0570985	104.941
0.0572415	105.093
0.0573949	105.245
0.0575343	105.397
0.0576778	105.549
0.0578184	105.701
0.057959	105.852
0.058098	106.003
0.0582535	106.154
0.0583962	106.305
0.0585365	106.456
0.0586753	106.606
0.058851	106.756
0.0589985	106.906
0.0591416	107.056
0.0592956	107.205
0.0594355	107.354
0.0595786	107.503
0.0597183	107.652
0.059856	107.801
0.0600073	107.949
0.0601645	108.097
0.060333	108.245
0.0604868	108.393
0.0606393	108.541
0.060796	108.688
0.060955	108.835
0.061114	108.982
0.0612518	109.129
0.0614071	109.276
0.0615507	109.422
0.0616895	109.568
0.0618268	109.715
0.0619813	109.86
0.0621393	110.006
0.0624306	110.151
0.0625714	110.297
0.0627498	110.442
0.0628969	110.587
0.0630392	110.731
0.0631796	110.876
0.0633221	111.02
0.063477	111.164
0.0636296	111.308
0.063771	111.452
0.0639118	111.595
0.0640548	111.739
0.0641926	111.882
0.0643308	112.025
0.0645587	112.168
0.0647324	112.31
0.0648816	112.453
0.0650257	112.595
0.0651804	112.737
0.0653249	112.879
0.0654671	113.021
0.0656213	113.163
0.0657824	113.304
0.0659422	113.445
0.0660988	113.586
0.066256	113.727
0.0664153	113.868
0.0665743	114.008
0.0668006	114.149
0.0669609	114.289
0.0671057	114.429
0.067254	114.569
0.0673976	114.708
0.0675406	114.848
0.0676855	114.987
0.067828	115.126
0.0679843	115.265
0.0681262	115.404
0.0682734	115.543
0.0684157	115.681
0.0685608	115.819
0.068703	115.958
0.0688476	116.096
0.0690036	116.233
0.0691454	116.371
0.0692888	116.509
0.0694352	116.646
0.0695767	116.783
0.06972	116.92
0.0698596	117.057
0.0700131	117.194
0.0701547	117.33
0.0702934	117.466
0.0704323	117.603
0.0705738	117.739
