time	cwndsize
0.000406425	2
0.000849054	3
0.0011666	4
0.00144572	5
0.00171467	6
0.00197723	7
0.00224431	8
0.00250829	9
0.00343113	10
0.00387372	11
0.00461799	12
0.00573834	13
0.00685531	14
0.00820108	15
0.00891145	16
0.00936944	17
0.0101969	18
0.0103543	19
0.0104428	20
0.0105263	21
0.010614	22
0.0106969	23
0.0107832	24
0.0108974	25
0.0109768	26
0.0110555	27
0.0111315	28
0.0112076	29
0.0112839	30
0.0113606	31
0.0114349	32
0.0115115	33
0.0115882	34
0.0127427	35
0.0132847	36
0.0144837	37
0.015076	38
0.0156883	39
0.0162696	40
0.0168783	41
0.0177889	42
0.0180955	43
0.0182798	44
0.0184522	45
0.0186214	46
0.0187854	47
0.018951	48
0.0191162	49
0.0192773	50
0.0194385	51
0.0195957	52
0.0197554	53
0.0199151	54
0.0200773	55
0.0202348	56
0.0204118	57
0.0205921	58
0.0208336	59
0.0210423	60
0.0212142	61
0.0215162	62
0.0231286	63
0.0242779	64
0.0252033	65
0.0257726	66
0.026107	67
0.0273102	68
0.0284022	69
0.0296085	70
0.0297447	71
0.0298477	72
0.0299428	73
0.0300346	74
0.0301239	75
0.0302114	76
0.0303008	77
0.0303893	78
0.0304763	79
0.0305649	80
0.0306541	81
0.0307624	82
0.0308746	83
0.031076	84
0.0311642	85
0.0312554	86
0.0313466	87
0.0314372	88
0.0315244	89
0.0316142	90
0.0317039	91
0.0317965	92
0.031883	93
0.0319731	94
0.0320641	95
0.032157	96
0.0322468	97
0.0323411	98
0.0324321	99
0.0325236	100
0.0326148	101
0.032707	102
0.0327977	103
0.0362538	104
0.0368945	105
0.0374479	106
0.037802	107
0.038361	108
0.0421945	109
0.0437312	110
0.0463158	111
0.0515284	112
0.0519919	113
0.0523096	114
0.0528579	115
0.0536738	116
0.0543347	117
0.055127	118
0.055868	119
0.0581241	120
0.0599251	121
0.0614206	122
0.0634419	123
0.0647715	124
0.0661475	125
0.0669463	126
0.0675012	127
0.0680375	128
0.0685939	129
0.0690701	130
0.0696954	131
0.0701469	132
0.0705991	133
0.0710374	134
0.072947	135
0.0780081	136
0.0783389	137
0.0788782	138
0.0791138	139
0.0793183	140
0.079511	141
0.0796878	142
0.0798657	143
0.080044	144
0.0802209	145
0.0805067	146
0.0808413	147
0.0843641	148
0.085359	149
0.085896	150
0.0863955	151
0.0870214	152
0.0876245	153
0.0882376	154
0.0888546	155
0.0893681	156
0.0906629	157
0.0917338	158
0.0929538	159
0.094429	160
0.0959707	161
0.0975035	162
0.098362	163
0.0991243	164
0.0998094	165
0.100686	166
0.101721	167
0.102263	168
0.102838	169
0.103506	170
0.104175	171
0.104826	172
0.105597	173
0.105981	174
0.106479	175
0.106759	176
0.107038	177
0.10727	178
0.107482	179
0.107738	180
0.108086	181
0.108365	182
0.108591	183
0.108808	184
0.109088	185
0.109319	186
0.109526	187
0.109718	188
0.109917	189
0.110143	190
0.110367	191
0.110574	192
0.110783	193
0.110992	194
0.1112	195
0.111406	196
0.11163	197
0.11187	198
0.112366	199
0.112572	200
0.112791	201
0.113136	202
0.113365	203
0.113588	204
0.113796	205
0.114172	206
0.114402	207
0.114628	208
0.114841	209
0.115061	210
0.115305	211
0.115722	212
0.116382	213
0.116691	214
0.116912	215
0.11743	216
0.119601	217
0.120192	218
0.12086	219
0.121425	220
0.122064	221
0.12269	222
0.123619	223
0.124164	224
0.124701	225
0.125305	226
0.126017	227
0.126437	228
0.126969	229
0.127431	230
0.128052	231
0.131639	232
0.13235	233
0.132851	234
0.133371	235
0.134201	236
0.135246	237
0.135776	238
0.136546	239
0.137327	240
0.137889	241
0.138447	242
0.138956	243
0.139635	244
0.141392	245
0.143412	246
0.145225	247
0.147044	248
0.148763	249
0.149273	250
0.149811	251
0.150303	252
0.151203	253
0.151968	254
0.152739	255
0.153473	256
0.15396	257
0.154628	258
0.15518	259
0.15586	260
0.156588	261
0.157035	262
0.157743	263
0.158349	264
0.159017	265
0.159982	266
0.160457	267
0.161117	268
0.161714	269
0.162395	270
0.163194	271
0.163899	272
0.165001	273
0.165827	274
0.166631	275
0.167295	276
0.167936	277
0.168503	278
0.169146	279
0.169776	280
0.170291	281
0.171394	282
0.171972	283
0.172536	284
0.173134	285
0.17376	286
0.174334	287
0.174879	288
0.175519	289
0.179092	290
0.179634	291
0.180273	292
0.18091	293
0.182035	294
0.182864	295
0.18343	296
0.183948	297
0.184478	298
0.185105	299
0.185617	300
0.186369	301
0.186866	302
0.187389	303
0.188123	304
0.188848	305
0.18969	306
0.190214	307
0.191037	308
0.192278	309
0.19494	310
0.198134	311
0.199418	312
0.200463	313
0.201319	314
0.201857	315
0.202578	316
0.203396	317
0.204135	318
0.204877	319
0.205538	320
0.20633	321
0.207174	322
0.207939	323
0.208729	324
0.210016	325
0.21069	326
0.211456	327
0.212285	328
0.213976	329
0.214876	330
0.215588	331
0.216233	332
0.217171	333
0.218	334
0.218617	335
0.219478	336
0.220244	337
0.221473	338
0.2222	339
0.222926	340
0.225385	341
0.226439	342
0.227256	343
0.228104	344
0.228928	345
0.229723	346
0.23037	347
0.231005	348
0.231671	349
0.232897	350
0.233653	351
0.234495	352
0.235151	353
0.235842	354
0.236537	355
0.237298	356
0.237995	357
0.238685	358
0.239368	359
0.24086	360
0.242991	361
0.245055	362
0.248238	363
0.249078	364
0.249818	365
0.250568	366
0.251383	367
0.252097	368
0.252774	369
0.25353	370
0.254228	371
0.254821	372
0.255493	373
0.256154	374
0.256742	375
0.257481	376
0.26149	377
0.262861	378
0.263659	379
0.264453	380
0.265349	381
0.266198	382
0.267058	383
0.267783	384
0.268564	385
0.269361	386
0.27007	387
0.270806	388
0.271583	389
0.27222	390
0.273016	391
0.274163	392
0.277231	393
0.279862	394
0.282394	395
0.283324	396
0.28398	397
0.284691	398
0.285601	399
0.286297	400
0.287201	401
0.288597	402
0.289372	403
0.290178	404
0.291003	405
0.294823	406
0.29562	407
0.296555	408
0.297294	409
0.298089	410
0.298916	411
0.300147	412
0.301169	413
0.30206	414
0.302863	415
0.303583	416
0.3044	417
0.305302	418
0.305974	419
0.306726	420
0.307547	421
0.309204	422
0.311031	423
0.31367	424
0.316291	425
0.317166	426
0.318039	427
0.31886	428
0.319664	429
0.320403	430
0.321198	431
0.322048	432
0.322847	433
0.323664	434
0.324881	347.2
0.325349	347.2
0.32589	347.2
0.326387	347.2
0.326926	347.2
0.327508	347.201
0.328076	347.201
0.329443	347.202
0.330285	347.202
0.33099	347.203
0.331576	347.204
0.332108	347.205
0.332656	347.205
0.333145	347.206
0.333704	347.207
0.334237	347.209
0.334753	347.21
0.335289	347.211
0.335741	347.212
0.337016	347.214
0.337555	347.215
0.338041	347.217
0.338564	347.218
0.339797	347.22
0.341146	347.222
0.341697	347.224
0.342361	347.226
0.342877	347.228
0.343333	347.23
0.343803	347.232
0.344371	347.235
0.34489	347.237
0.345496	347.239
0.346059	347.242
0.346469	347.244
0.346927	347.247
0.347533	347.25
0.348628	347.252
0.349342	347.255
0.349878	347.258
0.35046	347.261
0.351003	347.264
0.351439	347.267
0.351908	347.27
0.352349	347.273
0.352935	347.277
0.353453	347.28
0.354088	347.283
0.354702	347.287
0.355147	347.29
0.355744	347.294
0.356202	347.297
0.358061	347.301
0.360457	347.305
0.368178	347.31
0.369757	347.315
0.370492	347.321
0.371268	347.326
0.371882	347.331
0.372631	347.337
0.373418	347.342
0.374458	347.348
0.375254	347.354
0.376356	347.36
0.377427	347.366
0.378262	347.372
0.378972	347.378
0.38624	347.385
0.390716	347.392
0.393889	347.4
0.396265	347.409
0.398992	347.417
0.407393	347.427
0.41033	347.436
0.4114	347.446
0.412136	347.456
0.412938	347.466
0.414521	347.476
0.415276	347.487
0.41613	347.497
0.419622	347.508
0.420812	347.519
0.437816	347.531
0.439674	347.545
0.440389	347.558
0.441223	347.571
0.442024	347.584
0.442636	347.597
0.443488	347.61
0.444293	347.624
0.445232	347.637
0.4463	347.651
0.447218	347.664
0.44815	347.678
0.460232	347.693
0.462104	347.708
0.463025	347.724
0.466977	347.739
0.468252	347.755
0.469103	347.771
0.469863	347.787
0.470708	347.803
0.483009	347.821
0.484247	347.838
0.484482	347.856
0.484706	347.873
0.484935	347.89
0.485215	347.908
0.485443	347.925
0.48567	347.943
0.485937	347.96
0.486184	347.977
0.486412	347.995
0.486634	348.012
0.486885	348.029
0.487105	348.046
0.487325	348.064
0.487546	348.081
0.487765	348.098
0.487985	348.115
0.488398	348.132
0.488622	348.149
0.488825	348.166
0.489063	348.183
0.489294	348.2
0.489515	348.217
0.489734	348.234
0.489956	348.251
0.490177	348.268
0.490592	348.285
0.491182	348.302
0.491884	348.319
0.492699	348.336
0.4934	348.353
0.498629	348.371
0.499927	348.389
0.500416	348.406
0.500958	348.424
0.502919	348.442
0.503565	348.46
0.503921	348.478
0.504207	348.496
0.505014	348.514
0.505618	348.532
0.506263	348.55
0.506794	348.568
0.507105	348.586
0.512226	348.604
0.5131	348.623
0.517393	348.642
0.518779	348.661
0.519335	348.68
0.519979	348.7
0.520521	348.719
0.521121	348.738
0.521746	348.757
0.52229	348.776
0.522874	348.796
0.523537	348.815
0.525535	348.834
0.528511	348.854
0.534589	348.874
0.535775	348.895
0.536448	348.915
0.53736	348.936
0.537893	348.956
0.538432	348.977
0.538954	348.997
0.539552	349.018
0.540268	349.038
0.540933	349.059
0.541691	349.08
0.542506	349.1
0.543201	349.121
0.543789	349.141
0.544284	349.162
0.544818	349.183
0.546365	349.203
0.547052	349.224
0.547886	349.245
0.548768	349.266
0.549567	349.287
0.550117	349.308
0.550386	349.329
0.550681	349.349
0.550955	349.37
0.551217	349.391
0.551473	349.412
0.55172	349.432
0.551962	349.453
0.552199	349.474
0.552431	349.494
0.552662	349.515
0.552888	349.535
0.553078	349.556
0.554328	349.577
0.554962	349.597
0.555796	349.618
0.55949	349.639
0.560823	349.66
0.561499	349.681
0.562065	349.702
0.562634	349.723
0.563366	349.744
0.563898	349.765
0.564799	349.787
0.565359	349.808
0.565894	349.829
0.566392	349.85
0.566874	349.871
0.567359	349.892
0.567975	349.914
0.568484	349.935
0.569197	349.956
0.56972	349.977
0.570545	349.998
0.571269	350.02
0.572399	350.041
0.573204	350.062
0.575729	350.084
0.578424	350.106
0.581635	350.128
0.582414	350.15
0.583102	350.172
0.584319	350.194
0.584836	350.216
0.585438	350.239
0.58605	350.261
0.586792	350.283
0.587452	350.305
0.588153	350.327
0.588682	350.35
0.589232	350.372
0.589842	350.394
0.590801	350.416
0.591491	350.439
0.592036	350.461
0.592798	350.483
0.593098	350.506
0.593434	350.528
0.593757	350.55
0.594821	350.572
0.596035	350.595
0.59645	350.617
0.596827	350.64
0.597113	350.662
0.597481	350.684
0.598393	350.706
0.599004	350.729
0.599792	350.751
0.600444	350.773
0.60109	350.796
0.601691	350.818
0.602279	350.84
0.602877	350.863
0.606462	350.885
0.610172	350.908
0.613185	350.932
0.615777	350.955
0.616754	350.979
0.617317	351.002
0.618407	351.026
0.619002	351.05
0.619706	351.073
0.620226	351.097
0.621077	351.121
0.621672	351.144
0.622282	351.168
0.622875	351.191
0.623436	351.215
0.62407	351.239
0.624603	351.262
0.625522	351.286
0.62603	351.31
0.626714	351.333
0.627175	351.357
0.627622	351.381
0.628166	351.404
0.629006	351.428
0.630016	351.451
0.630547	351.475
0.631146	351.499
0.631663	351.522
0.632232	351.546
0.632861	351.57
0.63349	351.593
0.634211	351.617
0.634774	351.641
0.635399	351.664
0.635923	351.688
0.636395	351.712
0.637226	351.735
0.637966	351.759
0.638456	351.783
0.638906	351.806
