time	pps	kbps
0.100439	4760	167704
0.200973	3350	118027
0.301893	2340	82442.9
0.402487	2690	94774.1
0.503197	1870	65883.8
0.603701	3320	116970
0.704159	3210	113095
0.804384	0	0
0.904766	3570	125778
1.0053	4930	173694
1.10605	4900	172637
1.20709	4510	158896
1.30794	4670	164533
1.40827	4560	160658
1.50864	4520	159249
1.60907	4210	148327
1.70974	4670	164533
1.80999	4510	158896
1.91035	4200	147974
2.01436	3940	138814
2.11503	1870	65883.8
2.21513	4040	142337
2.31536	3000	105696
2.41564	3420	120493
2.51599	3770	132825
2.6164	4420	155725
2.71659	4440	156430
2.81675	4420	155725
2.91694	4260	150088
3.01706	4400	155021
3.11738	4360	153612
3.21752	4420	155725
3.31772	4290	151145
3.41795	4300	151498
3.51822	4340	152907
3.61851	4290	151145
3.7188	4330	152555
3.81897	4300	151498
3.91925	4240	149384
4.0195	4380	154316
4.11969	4300	151498
4.21977	4310	151850
4.32006	4430	156078
4.42075	4300	151498
4.5211	4180	147270
4.62119	4310	151850
4.72145	4310	151850
4.82173	4350	153259
4.92188	4280	150793
5.02246	4330	152555
5.12256	4320	152202
5.22276	4350	153259
5.32316	4270	150441
5.42338	4280	150793
5.52358	4350	153259
5.62413	4230	149031
5.72435	4440	156430
5.82461	4310	151850
5.92495	4260	150088
6.02592	4410	155373
6.12602	4320	152202
6.22629	4360	153612
6.32652	4270	150441
6.42683	4320	152202
6.52713	4310	151850
6.6272	4290	151145
6.72766	4340	152907
6.82793	4320	152202
6.92818	4250	149736
7.02825	4310	151850
7.12849	4290	151145
7.2287	4270	150441
7.32899	4390	154668
7.42905	4270	150441
7.52937	4310	151850
7.62947	4290	151145
7.72971	4360	153612
7.83006	4280	150793
7.93018	4200	147974
8.03035	4150	146213
8.13064	4340	152907
8.23098	4250	149736
8.33126	4360	153612
8.43159	4160	146565
8.53192	4270	150441
8.63226	4310	151850
8.73259	4300	151498
8.83284	4240	149384
8.93328	4290	151145
9.03359	4370	153964
9.13407	4340	152907
9.23455	4260	150088
9.33531	4330	152555
9.43556	4300	151498
9.53604	4330	152555
9.63613	4270	150441
9.7365	4390	154668
9.83681	4310	151850
9.93689	4350	153259
10.0372	4200	147974
10.1405	3830	134939
10.2407	4360	153612
10.3409	4170	146917
10.4414	3920	138109
10.5418	3570	125778
10.642	4310	151850
10.7423	3780	133177
10.8427	3900	137405
10.9427	3770	132825
11.0431	3680	129654
11.1435	3600	126835
11.2439	3770	132825
11.3444	3720	131063
11.4446	3780	133177
11.5451	3670	129301
