time	pps	kbps
0.100413	6210	218791
0.200713	7780	274105
0.301011	7390	260364
0.401321	6740	237464
0.501607	5660	199413
0.60184	6290	221609
0.702249	6030	212449
0.802788	5560	195890
0.90312	5480	193071
1.00385	5220	183911
1.1041	4970	175103
1.20448	4970	175103
1.30483	4710	165943
1.42493	1350	47563.2
1.52518	8190	288550
1.62542	8590	302643
1.72564	7660	269877
1.82591	7440	262126
1.92609	7550	266002
2.02632	7500	264240
2.12659	7520	264945
2.22688	7310	257546
2.3273	7610	268116
2.42754	7270	256137
2.52789	7580	267059
2.62817	7490	263888
2.72853	7490	263888
2.82947	6610	232884
2.92992	6230	219495
3.03034	6080	214211
3.13068	5650	199061
3.23103	5390	189900
3.33127	5200	183206
3.43161	4960	174751
3.53217	5030	177217
3.63248	4750	167352
3.73287	4760	167704
3.83327	4430	156078
3.93363	4450	156782
4.03401	4350	153259
4.13441	4100	144451
4.23485	4180	147270
4.33509	4110	144804
4.4354	3950	139166
4.53582	3990	140576
4.63629	3950	139166
4.73666	3920	138109
4.83697	3740	131768
4.93737	3800	133882
5.03773	3490	122960
5.13819	3520	124017
5.23881	3590	126483
5.33919	3570	125778
5.43958	3390	119436
5.54001	3480	122607
5.64111	3490	122960
5.74158	3460	121903
5.84219	3280	115561
5.94274	3340	117675
6.04334	3340	117675
6.14399	3090	108867
6.24448	3240	114152
6.34511	3290	115913
6.44561	3030	106753
6.54703	3230	113799
6.64749	3250	114504
6.74885	3150	110981
6.85005	3000	105696
6.95051	3150	110981
7.05131	3010	106048
7.15189	3040	107105
7.25337	3040	107105
7.35465	2950	103934
7.45557	2950	103934
7.556	2890	101820
7.65659	2980	104991
7.75701	2940	103582
7.85741	2830	99706.6
7.95864	2950	103934
8.05928	2830	99706.6
8.15987	2890	101820
8.26046	2870	101116
8.36088	2810	99001.9
8.46131	2680	94421.8
8.5617	2880	101468
8.66231	2710	95478.7
8.76291	2770	97592.6
8.86332	2710	95478.7
8.96377	2790	98297.3
9.06508	2550	89841.6
9.16617	2660	93717.1
9.26711	2580	90898.6
9.36856	2600	91603.2
9.46965	2610	91955.5
9.57029	2590	91250.9
9.67073	2590	91250.9
9.7715	2580	90898.6
9.87235	2490	87727.7
9.97337	2540	89489.3
10.0753	2280	80329
10.1758	2490	87727.7
10.2763	2460	86670.7
10.3769	2400	84556.8
10.4783	2480	87375.4
10.5792	2430	85613.8
10.68	2510	88432.3
10.7808	2460	86670.7
10.8813	2440	85966.1
10.9828	2480	87375.4
11.0835	2290	80681.3
11.184	2320	81738.2
11.2847	2370	83499.8
11.3852	2330	82090.6
11.4859	2430	85613.8
11.5863	3380	119084
