time	pps	kbps
0.101075	1650	58132.8
0.20166	1480	52143.4
0.302658	1000	35232
0.409741	930	32765.8
0.516728	760	26776.3
0.617704	1120	39459.8
0.719171	1140	40164.5
0.819808	660	23253.1
0.920844	550	19377.6
1.02175	900	31708.8
1.12236	950	33470.4
1.22292	1080	38050.6
1.32317	750	26424
1.42439	1210	42630.7
1.52913	1320	46506.2
1.63252	1380	48620.2
1.73362	1590	56018.9
1.83568	1450	51086.4
1.93614	1520	53552.6
2.03671	1420	50029.4
2.13867	1480	52143.4
2.23958	1140	40164.5
2.34172	1330	46858.6
2.44474	1540	54257.3
2.54787	1280	45097
2.65159	1370	48267.8
2.75272	1460	51438.7
2.85344	1110	39107.5
2.95363	850	29947.2
3.05517	1000	35232
3.15604	1240	43687.7
3.25686	1340	47210.9
3.35782	1220	42983
3.46041	1600	56371.2
3.56136	1610	56723.5
3.66252	1700	59894.4
3.76354	1530	53905
3.86563	1420	50029.4
3.96638	1740	61303.7
4.06737	1660	58485.1
4.16808	1510	53200.3
4.26979	1530	53905
4.37096	1370	48267.8
4.47183	1310	46153.9
4.57322	1230	43335.4
4.67441	1000	35232
4.77864	1710	60246.7
4.88026	1700	59894.4
4.98153	1050	36993.6
5.08229	1710	60246.7
5.18389	1460	51438.7
5.28458	1780	62713
5.38534	1250	44040
5.48632	1710	60246.7
5.58681	1840	64826.9
5.68741	1590	56018.9
5.78807	1810	63769.9
5.88874	1650	58132.8
5.98946	1870	65883.8
6.09301	1800	63417.6
6.19524	1900	66940.8
6.29834	1700	59894.4
6.39928	1420	50029.4
6.50004	1460	51438.7
6.6009	1700	59894.4
6.70146	1190	41926.1
6.80212	1000	35232
6.90262	1180	41573.8
7.02723	1290	45449.3
7.12777	390	13740.5
7.22841	1930	67997.8
7.32943	1910	67293.1
7.43133	1860	65531.5
7.53388	1480	52143.4
7.63479	1030	36289
7.73594	920	32413.4
7.83852	620	21843.8
7.94117	900	31708.8
8.04283	1360	47915.5
8.14496	1320	46506.2
8.24757	1170	41221.4
8.35018	610	21491.5
8.45204	630	22196.2
8.55314	1390	48972.5
8.65366	1640	57780.5
8.75461	1420	50029.4
8.85873	1210	42630.7
8.95948	1960	69054.7
9.06342	1540	54257.3
9.16529	1410	49677.1
9.26669	1740	61303.7
9.36752	1810	63769.9
