segment	time	rtt	rttvar	srtt	rto
1	0.000389963	0.061333	0.0306665	0.061333	200
2	0.000773443	0.18221	0.0532191	0.0764426	200
3	0.00101768	0.393525	0.119185	0.116078	200
4	0.00125629	0.416128	0.141793	0.134831	200
5	0.00148307	0.618981	0.184588	0.16509	200
6	0.00172192	0.638811	0.208682	0.184829	200
7	0.00195332	0.847763	0.246536	0.212451	200
8	0.00218573	0.865225	0.271926	0.23285	200
9	0.00241057	1.07175	0.307362	0.259066	200
10	0.00264092	1.09305	0.333693	0.279915	200
11	0.00296165	1.30069	0.368047	0.305435	200
12	0.00321867	1.4281	0.39949	0.328824	200
13	0.00346947	1.66605	0.438562	0.356683	200
14	0.00362874	1.62117	0.468059	0.379263	200
15	0.0037839	1.75385	0.500435	0.403809	200
16	0.00395403	1.71311	0.525712	0.424267	200
17	0.00410693	1.84953	0.553823	0.446536	200
18	0.00426381	1.79927	0.576015	0.465324	200
19	0.0044193	1.93212	0.600759	0.485696	200
20	0.00457476	1.88012	0.620601	0.503127	200
21	0.00472917	2.01366	0.642849	0.522008	200
22	0.00488419	1.85787	0.658599	0.537189	200
23	0.00516599	2.10491	0.679261	0.555004	200
24	0.0055103	2.22707	0.699944	0.572421	200
25	0.00569318	2.40141	0.723466	0.591473	200
26	0.00585989	2.34375	0.743251	0.608322	200
27	0.00602413	2.49585	0.765256	0.626471	200
28	0.00629322	2.62136	0.787214	0.644283	200
29	0.00644865	2.76356	0.811001	0.663205	200
30	0.00659909	2.77433	0.83267	0.680797	200
31	0.00674674	2.89665	0.855723	0.699263	200
32	0.00694498	2.90166	0.876765	0.716469	200
33	0.00710336	3.09577	0.900242	0.735057	200
34	0.00725085	3.1001	0.921783	0.752447	200
35	0.00740095	3.23758	0.944773	0.77072	200
36	0.00755029	3.24521	0.96602	0.787904	200
37	0.00769996	3.38005	0.988605	0.805905	200
38	0.00784793	3.38756	1.00957	0.82289	200
39	0.00799665	3.52268	1.03181	0.840652	200
40	0.00815528	3.53693	1.05261	0.857504	200
41	0.00830385	3.67433	1.07466	0.875109	200
42	0.00845027	3.67984	1.09526	0.891804	200
43	0.00859809	3.81587	1.11703	0.909209	200
44	0.00874736	3.82237	1.13744	0.925761	200
45	0.00889758	3.95326	1.15892	0.942963	200
46	0.00904776	3.83135	1.17772	0.95866	200
47	0.00919792	3.95604	1.1975	0.97495	200
48	0.00934931	3.79341	1.21438	0.98963	200
49	0.00952172	3.92602	1.23232	1.00492	200
50	0.00971052	3.97388	1.24969	1.01977	200
51	0.00985983	4.11188	1.26811	1.03523	200
52	0.0100114	4.1063	1.28545	1.04999	200
53	0.0102072	4.28481	1.30419	1.06555	200
54	0.0104551	4.39556	1.32295	1.08096	200
55	0.0105909	4.53341	1.34267	1.09695	200
56	0.0107304	4.3945	1.36012	1.11167	200
57	0.0108674	4.52125	1.37842	1.12689	200
58	0.0111173	4.62523	1.39669	1.14197	200
59	0.0112703	4.76992	1.41593	1.15761	200
60	0.0114249	4.78554	1.43436	1.17272	200
61	0.0115833	4.9253	1.45368	1.18836	200
62	0.0117424	4.9546	1.47233	1.20354	200
63	0.0118966	5.09555	1.49184	1.21924	200
64	0.0120558	5.06157	1.51021	1.23425	200
65	0.0121936	5.1939	1.52934	1.24971	200
66	0.0123306	5.18919	1.5476	1.26464	200
67	0.0124702	5.31465	1.56656	1.27998	200
68	0.012605	5.31657	1.58472	1.29482	200
69	0.012743	5.44027	1.60355	1.31006	200
70	0.0128833	5.44411	1.62163	1.32482	200
71	0.0130212	5.56905	1.64036	1.33998	200
72	0.0131575	5.56902	1.65834	1.35466	200
73	0.0133007	5.69508	1.67696	1.36974	200
74	0.0134403	5.70266	1.69491	1.38437	200
75	0.0135794	5.83063	1.7135	1.3994	200
76	0.0137162	5.8285	1.73136	1.41396	200
77	0.0138556	5.95645	1.74986	1.42891	200
78	0.0139985	5.96382	1.76771	1.44344	200
79	0.0141373	6.08242	1.78612	1.45831	200
80	0.014278	6.08282	1.80386	1.47276	200
81	0.0144176	6.21119	1.8222	1.48757	200
82	0.014558	6.21675	1.83992	1.50199	200
83	0.0146986	6.34651	1.85824	1.51676	200
84	0.014839	6.34882	1.87594	1.53114	200
85	0.0150318	6.52586	1.89451	1.546	200
86	0.0152177	6.58059	1.91277	1.56064	200
87	0.0153628	6.71309	1.9316	1.57562	200
88	0.0155044	6.71844	1.94985	1.59023	200
89	0.0156494	6.84943	1.96865	1.60517	200
90	0.0157975	6.85819	1.9869	1.61976	200
91	0.015943	6.99448	2.00572	1.63469	200
92	0.016088	7.00058	2.02398	1.64927	200
93	0.0162665	7.16785	2.04297	1.66427	200
94	0.0164223	7.18267	2.06146	1.67894	200
95	0.0165699	7.31924	2.08049	1.69395	200
96	0.0167896	7.39788	2.09937	1.7088	200
97	0.0169617	7.5584	2.1189	1.72403	200
98	0.017125	7.53412	2.13773	1.73885	200
99	0.0173257	7.71739	2.15733	1.75411	200
100	0.0174958	7.74457	2.17649	1.76908	200
101	0.0176579	7.89572	2.19624	1.7844	200
102	0.0178289	7.92815	2.21559	1.79946	200
103	0.017975	8.06308	2.23544	1.81481	200
104	0.0181232	8.05064	2.25467	1.8298	200
105	0.0182699	8.18022	2.27436	1.84506	200
106	0.0184151	8.14394	2.29334	1.85992	200
107	0.0185699	8.28195	2.31282	1.87507	200
108	0.0187182	8.22668	2.33152	1.88977	200
109	0.018866	8.36411	2.3507	1.90476	200
110	0.0190572	8.42608	2.36965	1.91958	200
111	0.0192078	8.56862	2.38911	1.93469	200
112	0.019401	8.63002	2.40833	1.94963	200
113	0.0195683	8.78746	2.42811	1.9649	200
114	0.0197189	8.76085	2.44726	1.9798	200
115	0.0198725	8.87871	2.46679	1.99493	200
116	0.0200236	8.86717	2.48578	2.00974	200
117	0.020173	9.00477	2.50521	2.02482	200
118	0.0203219	9.01045	2.5242	2.03962	200
119	0.0204769	9.15183	2.54364	2.05468	200
120	0.0206405	9.17632	2.56271	2.06952	200
121	0.0209483	9.46759	2.58286	2.08493	200
122	0.0210998	9.47748	2.60257	2.10008	200
123	0.0212608	9.62042	2.62273	2.11549	200
124	0.0214144	9.63334	2.64247	2.13065	200
125	0.0215684	9.77299	2.66263	2.14606	200
126	0.0217207	9.78529	2.68237	2.16121	200
127	0.0218726	9.92585	2.70254	2.17662	200
128	0.0220269	9.93218	2.72228	2.19177	200
129	0.0221796	10.0748	2.74244	2.20716	200
130	0.0223306	10.1006	2.76225	2.22234	200
131	0.0225526	10.2661	2.78257	2.23781	200
132	0.0229472	10.5678	2.80358	2.25359	200
133	0.0231492	10.7665	2.8252	2.26971	200
134	0.0233327	10.8207	2.84657	2.28567	200
135	0.0235168	11.0001	2.86846	2.30192	200
136	0.0236771	11.0359	2.89003	2.31798	200
137	0.0238359	11.1818	2.91199	2.33427	200
138	0.023995	11.2139	2.93361	2.35036	200
139	0.024156	11.3634	2.95564	2.36669	200
140	0.0243168	11.3941	2.97732	2.38281	200
141	0.0244735	11.5411	2.9994	2.39916	200
142	0.0246332	11.5756	3.02115	2.41532	200
143	0.0247889	11.7215	3.04328	2.4317	200
144	0.0249474	11.7537	3.06508	2.44789	200
145	0.0251493	11.9406	3.0874	2.46437	200
146	0.0253114	11.9736	3.10939	2.48065	200
147	0.025467	12.1169	3.13174	2.49715	200
148	0.0256292	12.1491	3.15377	2.51345	200
149	0.0257872	12.2977	3.17617	2.52998	200
150	0.0259461	12.3301	3.19825	2.54631	200
151	0.0261013	12.4754	3.22069	2.56286	200
152	0.0262595	12.5068	3.2428	2.57922	200
153	0.0264197	12.6531	3.26527	2.59579	200
154	0.0265794	12.6872	3.28744	2.61217	200
155	0.0267361	12.83	3.30994	2.62876	200
156	0.0269342	12.8959	3.33224	2.64521	200
157	0.027104	13.0543	3.35492	2.66189	200
158	0.0272694	13.0952	3.37732	2.6784	200
159	0.0274292	13.2453	3.40007	2.69512	200
160	0.027591	13.2743	3.42251	2.71165	200
161	0.0277567	13.425	3.44529	2.72839	200
162	0.0279202	13.4656	3.4678	2.74496	200
163	0.0280794	13.6128	3.49063	2.76173	200
164	0.0282578	13.6609	3.51322	2.77834	200
165	0.0284371	13.8285	3.5362	2.79519	200
166	0.0286187	13.8819	3.55894	2.81189	200
167	0.028798	14.0511	3.58208	2.82881	200
168	0.0289791	14.0989	3.60496	2.84558	200
169	0.0291619	14.2714	3.62823	2.86259	200
170	0.0293992	14.3266	3.65128	2.87944	200
171	0.0295653	14.4516	3.67458	2.89646	200
172	0.0297291	14.4735	3.69755	2.91329	200
173	0.0298931	14.6248	3.72085	2.93031	200
174	0.0300596	14.6572	3.74385	2.94716	200
175	0.0302239	14.8111	3.76718	2.96421	200
176	0.0303876	14.8421	3.79023	2.98108	200
177	0.0305508	14.996	3.81359	2.99815	200
178	0.0307157	15.0294	3.83668	3.01504	200
179	0.0309129	15.2097	3.86015	3.03217	200
180	0.0310906	15.2529	3.88338	3.04914	200
181	0.0314777	15.6292	3.90753	3.06662	200
182	0.0316432	15.6631	3.9314	3.08392	200
183	0.031808	15.8156	3.95558	3.10141	200
184	0.0319715	15.8454	3.97946	3.11872	200
185	0.0321368	16.0019	4.00366	3.13623	200
186	0.0323022	15.9975	4.02747	3.15351	200
187	0.0324668	16.1491	4.05158	3.17098	200
188	0.0326311	16.1691	4.07537	3.18827	200
189	0.0328011	16.3288	4.09948	3.20574	200
190	0.0329695	16.3628	4.12332	3.22305	200
191	0.0331369	16.5166	4.14745	3.24054	200
192	0.0333003	16.4697	4.1711	3.25777	200
193	0.0334664	16.6243	4.19504	3.27517	200
194	0.0336315	16.6298	4.21865	3.29238	200
195	0.0337962	16.7828	4.24255	3.30977	200
196	0.034004	16.8301	4.26622	3.32701	200
197	0.0344095	17.2205	4.29078	3.34473	200
198	0.0346317	17.2588	4.31508	3.3623	200
199	0.0348542	17.4675	4.3398	3.38011	200
200	0.0352144	17.419	4.36405	3.39766	200
201	0.0354323	17.8798	4.38934	3.41576	200
202	0.0356466	17.9356	4.41442	3.43373	200
203	0.0358394	18.1205	4.43984	3.45191	200
204	0.0360302	18.1622	4.46502	3.46994	200
205	0.0362219	18.34	4.49052	3.48816	200
206	0.0364112	18.3968	4.51581	3.50625	200
207	0.0366031	18.5756	4.54142	3.52454	200
208	0.0367937	18.631	4.56682	3.5427	200
209	0.0369841	18.8085	4.59254	3.56105	200
210	0.037172	18.8634	4.61804	3.57926	200
211	0.0373623	19.0426	4.64386	3.59767	200
212	0.0375509	19.0964	4.66946	3.61595	200
213	0.037742	19.2696	4.69537	3.63441	200
214	0.0379294	19.3202	4.72104	3.65273	200
215	0.0381224	19.4981	4.74704	3.67124	200
216	0.0383447	19.5881	4.77289	3.68967	200
217	0.0385186	19.75	4.79902	3.70825	200
218	0.0386896	19.7526	4.82481	3.72665	200
219	0.0388592	19.9095	4.85086	3.74521	200
220	0.0390726	19.9746	4.87672	3.76365	200
221	0.039245	20.1358	4.90285	3.78226	200
222	0.0397343	20.4244	4.92929	3.801	200
223	0.0399921	20.73	4.95631	3.82006	200
224	0.0401999	20.7565	4.98306	3.83897	200
225	0.0404001	20.9441	5.01011	3.85806	200
226	0.0405914	20.9842	5.03692	3.877	200
227	0.0407647	21.1472	5.06398	3.89611	200
228	0.0409396	21.1823	5.09079	3.91506	200
229	0.041118	21.3443	5.11785	3.93417	200
230	0.0413247	21.4128	5.14472	3.95317	200
231	0.0415021	21.5775	5.17185	3.97233	200
232	0.0416967	21.6332	5.19876	3.99136	200
233	0.0421544	22.0799	5.22654	4.01085	200
234	0.0423408	22.1283	5.25409	4.03021	200
235	0.0425157	22.2946	5.28189	4.04972	200
236	0.0426937	22.3293	5.30942	4.06908	200
237	0.0429276	22.5509	5.33733	4.08866	200
238	0.0431168	22.6004	5.36501	4.10811	200
