segment	time	rtt	rttvar	srtt	rto
1	0.000403797	0.059477	0.0297385	0.059477	200
2	0.00080445	0.189406	0.0547861	0.0757181	200
3	0.00107474	0.393447	0.120522	0.115434	200
4	0.00133776	0.465609	0.149228	0.13732	200
5	0.00157603	0.681009	0.198536	0.171301	200
6	0.00181731	0.672274	0.223739	0.192175	200
7	0.00205624	0.886869	0.262985	0.22112	200
8	0.00229467	0.891918	0.288474	0.242083	200
9	0.00254824	1.13475	0.326236	0.269979	200
10	0.00277337	1.08394	0.350622	0.290328	200
11	0.00296179	1.30459	0.383804	0.315684	200
12	0.00313262	1.25954	0.40714	0.335348	200
13	0.00329679	1.39968	0.434523	0.357522	200
14	0.00346094	1.3497	0.454439	0.375239	200
15	0.00358789	1.45622	0.480545	0.397759	200
16	0.00375037	1.40113	0.499217	0.415677	200
17	0.00391368	1.54714	0.521797	0.435881	200
18	0.0040866	1.49375	0.53855	0.452411	200
19	0.00425219	1.64507	0.55899	0.471046	200
20	0.00441269	1.58899	0.574517	0.486573	200
21	0.00457372	1.73415	0.593213	0.5039	200
22	0.00472527	1.71981	0.61051	0.520788	200
23	0.00488726	1.8632	0.628808	0.537568	200
24	0.00505142	1.87349	0.646486	0.554267	200
25	0.00521602	2.0282	0.665291	0.571016	200
26	0.00537259	2.02566	0.683231	0.587546	200
27	0.00553833	2.18414	0.703989	0.605689	200
28	0.00570394	2.06904	0.719809	0.620933	200
29	0.00585113	2.20683	0.737853	0.637452	200
30	0.00602008	2.22578	0.755571	0.653998	200
31	0.00618037	2.37219	0.774083	0.670519	200
32	0.00633116	2.3748	0.791971	0.686906	200
33	0.00649031	2.51405	0.811879	0.704475	200
34	0.00664375	2.51186	0.831023	0.721853	200
35	0.00687219	2.72047	0.851873	0.739698	200
36	0.00704041	2.74434	0.872458	0.757597	200
37	0.00718888	2.88122	0.8948	0.776558	200
38	0.007355	2.8992	0.915264	0.794246	200
39	0.00750618	3.03569	0.937367	0.812925	200
40	0.00766734	3.04764	0.95899	0.831548	200
41	0.00781574	3.04714	0.979933	0.850011	200
42	0.00798565	3.20262	1.00138	0.868391	200
43	0.00813463	3.2039	1.02223	0.886637	200
44	0.0083083	3.36327	1.04495	0.905985	200
45	0.00845661	3.35829	1.06694	0.925144	200
46	0.00862816	3.51333	1.08931	0.944175	200
47	0.00877968	3.52063	1.11118	0.963119	200
48	0.00897216	3.55633	1.13298	0.982187	200
49	0.0091125	3.68305	1.15603	1.00205	200
50	0.00926962	3.68811	1.17728	1.0207	200
51	0.0094082	3.81378	1.19973	1.0401	200
52	0.00961983	3.87092	1.22238	1.05975	200
53	0.00978188	3.88617	1.24466	1.07938	200
54	0.00992689	4.01914	1.2682	1.0998	200
55	0.0101091	4.04511	1.29027	1.11917	200
56	0.0102626	4.18775	1.31367	1.13936	200
57	0.0104792	4.25387	1.33736	1.15985	200
58	0.0106232	4.25008	1.36043	1.18018	200
59	0.0108099	4.42157	1.38518	1.20151	200
60	0.010973	4.43954	1.40834	1.22175	200
61	0.0111252	4.43881	1.43095	1.24185	200
62	0.0112873	4.58702	1.45487	1.26276	200
63	0.0114286	4.51374	1.47733	1.28308	200
64	0.0115733	4.64306	1.50086	1.30408	200
65	0.01173	4.64753	1.52279	1.32398	200
66	0.011871	4.64007	1.54414	1.34372	200
67	0.0120146	4.76672	1.56651	1.36409	200
68	0.0121696	4.77026	1.58841	1.38437	200
69	0.012313	4.7654	1.60975	1.40449	200
70	0.0124644	4.9056	1.63124	1.42439	200
71	0.0126034	4.89455	1.65214	1.4441	200
72	0.012765	4.88311	1.67245	1.46364	200
73	0.0129833	5.11012	1.69488	1.48436	200
74	0.0131197	5.09383	1.71664	1.50487	200
75	0.0132503	5.06733	1.73761	1.52511	200
76	0.0135507	5.33997	1.76019	1.54584	200
77	0.013922	5.55049	1.78459	1.56761	200
78	0.0141759	5.66645	1.80974	1.58988	200
79	0.0144412	5.91916	1.83713	1.61341	200
80	0.0146091	5.93507	1.86413	1.6369	200
81	0.0147968	5.97421	1.89102	1.66047	200
82	0.0149676	6.15009	1.91808	1.68386	200
83	0.0151876	6.16676	1.9448	1.7072	200
84	0.0153359	6.18093	1.97114	1.73051	200
85	0.0154859	6.32076	1.99843	1.75441	200
86	0.015622	6.31379	2.0251	1.77816	200
87	0.0157572	6.31118	2.05123	1.80177	200
88	0.0159067	6.2477	2.07517	1.824	200
89	0.0160426	6.36956	2.09988	1.84673	200
90	0.0161736	6.35328	2.12394	1.86926	200
91	0.0163186	6.35288	2.14754	1.89168	200
92	0.0164557	6.47922	2.17194	1.91462	200
93	0.0165871	6.43557	2.19543	1.93722	200
94	0.0167324	6.42869	2.21751	1.95881	200
95	0.0168618	6.54985	2.24033	1.98089	200
96	0.0169949	6.47724	2.26202	2.0025	200
97	0.0171371	6.47165	2.28325	2.02399	200
98	0.0172677	6.41805	2.30354	2.04511	200
99	0.0173957	6.53491	2.32456	2.0667	200
100	0.0175269	6.51431	2.34498	2.08808	200
101	0.0176673	6.50354	2.36415	2.10852	200
102	0.0177976	6.61873	2.38402	2.12941	200
103	0.0179251	6.6	2.40334	2.1501	200
104	0.0180852	6.61752	2.42245	2.17079	200
105	0.0182158	6.60367	2.44107	2.19131	200
106	0.018347	6.71753	2.46037	2.21226	200
107	0.0184765	6.70576	2.4792	2.23307	200
108	0.0186207	6.71094	2.49704	2.25306	200
109	0.0188245	6.76799	2.51506	2.27321	200
110	0.0189664	6.90061	2.53392	2.29387	200
111	0.0191098	6.89936	2.55242	2.31443	200
112	0.019243	6.89114	2.57049	2.33486	200
113	0.0193725	7.00974	2.58928	2.35573	200
114	0.0195048	7.00072	2.60764	2.37647	200
115	0.0196477	7.00622	2.62507	2.39642	200
116	0.019799	6.9856	2.642	2.41621	200
117	0.019953	7.13021	2.65986	2.43652	200
118	0.0201271	7.10333	2.67716	2.45664	200
119	0.0202726	7.11437	2.69424	2.47672	200
120	0.0204515	7.15775	2.71136	2.49689	200
121	0.0206137	7.29915	2.72939	2.51759	200
122	0.0208644	7.25901	2.74616	2.53735	200
123	0.0210143	7.03559	2.76076	2.55609	200
124	0.0211495	6.92573	2.77416	2.5743	200
125	0.0212787	7.03535	2.78822	2.59289	200
126	0.0214218	6.92626	2.8011	2.61094	200
127	0.0215508	6.90512	2.81354	2.62883	200
128	0.0216868	6.85202	2.82529	2.64643	200
129	0.0218173	6.93832	2.83751	2.66431	200
130	0.0219613	6.97678	2.8494	2.6817	200
131	0.0220935	6.86812	2.86019	2.69858	200
132	0.0222321	6.85335	2.87063	2.71534	200
133	0.0223626	6.9752	2.88183	2.73251	200
134	0.0225082	6.98236	2.89286	2.74965	200
135	0.0226408	6.98234	2.90367	2.76672	200
136	0.0228028	7.00627	2.91444	2.78381	200
137	0.0229387	7.1317	2.926	2.80134	200
138	0.0230817	7.13828	2.93702	2.81828	200
139	0.0232193	7.14045	2.94784	2.83517	200
140	0.0233719	7.15923	2.9586	2.85206	200
141	0.0235073	7.28343	2.9701	2.86937	200
142	0.023652	7.29494	2.98147	2.88666	200
143	0.0237903	7.29816	2.99265	2.90389	200
144	0.0239276	7.30013	3.00361	2.92106	200
145	0.0240606	7.42689	3.01535	2.93866	200
146	0.0242063	7.43746	3.02659	2.9557	200
147	0.0243416	7.44356	3.03766	2.9727	200
148	0.0244774	7.44382	3.04852	2.98964	200
149	0.0246108	7.56745	3.0601	3.00698	200
150	0.0247597	7.5857	3.07161	3.02432	200
151	0.0248952	7.59132	3.08293	3.04162	200
152	0.025028	7.59673	3.09409	3.05888	200
153	0.0252428	7.66754	3.10556	3.07633	200
