segment	time	rtt	rttvar	srtt	rto
1	0.000389435	0.02741	0.013705	0.02741	200
2	0.000839379	0.200191	0.053474	0.0490076	200
3	0.00115684	0.469523	0.145234	0.101572	200
4	0.00143709	0.500307	0.176922	0.126493	200
5	0.00170595	0.744082	0.232005	0.165092	200
6	0.00196884	0.716726	0.258641	0.188077	200
7	0.00223545	0.954709	0.300974	0.22002	200
8	0.00250012	0.972869	0.329216	0.243547	200
9	0.00342013	1.2288	0.370218	0.274336	200
10	0.00386611	2.0109	0.438535	0.31775	200
11	0.00460589	2.57972	0.529707	0.374299	200
12	0.00572821	3.41683	0.634408	0.437685	200
13	0.00684071	4.31287	0.76944	0.518418	200
14	0.00818586	5.44599	0.917945	0.60641	200
15	0.00890305	6.28294	1.08789	0.707777	200
16	0.00936271	6.77751	1.24358	0.802616	200
17	0.0101908	7.57884	1.41647	0.908495	200
18	0.0103493	6.81525	1.5412	0.990533	200
19	0.0104381	6.86194	1.66149	1.07208	200
20	0.0105218	6.55995	1.75715	1.14068	200
21	0.0106095	6.42419	1.8453	1.20672	200
22	0.0106926	5.75462	1.90673	1.2584	200
23	0.0107788	5.52899	1.96045	1.30693	200
24	0.0108933	5.06599	1.99792	1.34609	200
25	0.0109731	4.95493	2.03148	1.38368	200
26	0.0110516	3.76924	2.03829	1.40662	200
27	0.0111277	3.65646	2.04236	1.42825	200
28	0.0112038	2.90415	2.03224	1.44143	200
29	0.01128	2.94748	2.02285	1.45488	200
30	0.0113567	2.31678	2.0035	1.46206	200
31	0.011431	2.18691	1.98219	1.4681	200
32	0.0115077	2.07114	1.96064	1.47281	200
33	0.0115845	2.1277	1.94024	1.47793	200
34	0.0127372	2.41728	1.92552	1.48483	200
35	0.0132847	2.87156	1.91759	1.49503	200
36	0.0144737	3.78223	1.92273	1.51091	200
37	0.0150631	4.40472	1.93622	1.53101	200
38	0.0156764	4.92198	1.95536	1.55332	200
39	0.016243	5.47145	1.98118	1.5791	200
40	0.0168691	5.96648	2.01126	1.60652	200
41	0.0177827	7.18377	2.05584	1.64138	200
42	0.0180902	7.43231	2.1003	1.67585	200
43	0.0182746	7.60408	2.14587	1.71113	200
44	0.0184475	7.70857	2.18964	1.74521	200
45	0.0186167	7.86287	2.23428	1.77997	200
46	0.0187809	7.92557	2.27679	1.81337	200
47	0.0189463	8.07636	2.32012	1.84741	200
48	0.0191117	8.17397	2.36185	1.88036	200
49	0.0192727	8.32137	2.40434	1.9139	200
50	0.0194341	8.41663	2.44533	1.94642	200
51	0.0195912	8.56002	2.48701	1.97949	200
52	0.0197509	8.65472	2.52728	2.01158	200
53	0.0199105	8.80269	2.56828	2.04423	200
54	0.0200727	8.90277	2.608	2.07598	200
55	0.0202304	9.04727	2.6484	2.10825	200
56	0.020387	9.14591	2.68759	2.13967	200
57	0.0205877	9.32799	2.72778	2.17176	200
58	0.020829	9.50619	2.76749	2.20338	200
59	0.0210374	9.70008	2.80826	2.23569	200
60	0.0212096	9.8104	2.84798	2.26725	200
61	0.0215077	10.0198	2.88885	2.29955	200
62	0.0229076	10.8018	2.93412	2.33384	200
63	0.0242571	12.0211	2.98858	2.3729	200
64	0.0251962	13.5867	3.05284	2.4167	200
65	0.0257618	14.0913	3.1202	2.46231	200
66	0.0260975	14.392	3.18694	2.50749	200
67	0.0273025	15.5663	3.26172	2.55696	200
68	0.0283951	15.5001	3.33291	2.60455	200
69	0.0295983	16.653	3.4117	2.65619	200
70	0.0297396	16.4428	3.48581	2.70543	200
71	0.029843	15.7308	3.55395	2.75195	200
72	0.0299384	15.3343	3.61665	2.79564	200
73	0.0300303	15.3027	3.67838	2.83907	200
74	0.0301197	14.8814	3.7349	2.87975	200
75	0.0302073	14.8503	3.79054	2.92019	200
76	0.0302965	14.5247	3.84195	2.95836	200
77	0.0303852	14.5619	3.89301	2.99653	200
78	0.0304721	14.0595	3.93898	3.03199	200
79	0.0305607	14.0817	3.98456	3.06741	200
80	0.0306499	13.4587	4.0246	3.09988	200
81	0.0307389	13.4298	4.06401	3.13216	200
82	0.0308702	12.9782	4.09926	3.16218	200
83	0.0310716	13.1213	4.135	3.19254	200
84	0.0311599	13.017	4.16886	3.22178	200
85	0.0312512	13.0916	4.20279	3.25116	200
86	0.0313426	13.0195	4.23515	3.27955	200
87	0.031433	13.0947	4.2676	3.30809	200
88	0.0315204	13.0262	4.29856	3.33569	200
89	0.03161	13.101	4.32962	3.36344	200
90	0.0316997	13.036	4.35931	3.3903	200
91	0.0317902	13.114	4.38911	3.41731	200
92	0.0318789	13.05	4.41761	3.44349	200
93	0.031969	13.1271	4.44623	3.4698	200
94	0.03206	13.0676	4.47363	3.49533	200
95	0.0321529	13.1425	4.50115	3.52099	200
96	0.0322426	13.0861	4.52752	3.5459	200
97	0.0323369	13.1659	4.55405	3.57095	200
98	0.0324281	13.1101	4.57948	3.59528	200
99	0.0325195	13.1874	4.60505	3.61975	200
100	0.0326107	13.1315	4.62959	3.64353	200
101	0.0327029	13.2121	4.65428	3.66745	200
102	0.0327937	13.1578	4.67799	3.69071	200
103	0.0362456	16.4856	4.71778	3.72207	200
